// Compost colors for scp_ultimate. You may add your own colors, change existing ones, or remove colors that aren't needed.
aditem_1, #7a0000
scp_287fragment, #e6ffff
scp_294fragment, #d0fafe
scp_294spawn, #ffffff
scp_310_fire, #ffb562
scp_310fragment, #6e6f4a
scp_310poster, #a0ca96
scp_310spawn, #ffffff
scp_330, #c0bfc0
scp_330candy_1, #ffffff
scp_330candy_2, #ffffff
scp_330candy_3, #ffffff
scp_330candy_4, #ffffff
scp_330candy_5, #ffffff
scp_330candy_6, #ffffff
scp_330fragment, #bfc2b9
scp_330poster, #a0ca96
scp_330spawn, #ffffff
scp_346fragment, #988d6c
scp_346poster, #a0ca96
scp_346spawn, #ffffff
scp_354fragment, #a70000
scp_354poster, #e78e8e
scp_354spawn, #ffffff
scp_3668, #bfc69b
scp_3668fragment, #ccc5c3
scp_372fragment, #b4e782
scp_372poster, #f0ea96
scp_372spawn, #ffffff
scp_409crystal, #c2fcff
scp_409fragment, #abe4eb
scp_409poster, #e78e8e
scp_409spawn, #ffffff
scp_420_j, #f5d3ab
scp_420jfragment, #7daa4a
scp_426fragment, #9da1a0
scp_426poster, #f0ea96
scp_426spawn, #ffffff
scp_427, #4a3e0a
scp_427fragment, #989a9b
scp_457fragment, #ffbc4a
scp_457poster, #e78e8e
scp_457spawn, #ffffff
scp_458, #ffb23d
scp_458frgament, #e6b870
scp_458poster, #a0ca96
scp_458spawn, #ffffff
scp_472fragment, #9b5a5a
scp_472poster, #f0ea96
scp_472spawn, #ffffff
scp_500, #ffaeae
scp_500fragment, #e6afaf
scp_50_aej, #6b6461
scp_512, #443c36
scp_5121, #575451
scp_512fragment, #878e9b
scp_513, #692804
scp_513fragment, #89837c
scp_513poster, #f0ea96
scp_513spawn, #ffffff
scp_524fragment, #b2d7af
scp_524spawn, #ffffff
scp_529fragment, #f2eed3
scp_529spawn, #ffffff
scp_538fragment, #9b9b9b
scp_538poster, #f0ea96
scp_538spawn, #ffffff
scp_548fragment, #a7afdd
scp_548poster, #f0ea96
scp_548spawn, #ffffff
scp_573, #ffffff
scp_573fragment, #c6c9cf
scp_594fragment, #848086
scp_594spawn, #ffffff
scp_682fragment, #726c54
scp_682poster, #e78e8e
scp_682spawn, #ffffff
scp_714_chestplate, #3a7030
scp_714fragment, #70976f
scp_718fragment, #ab9197
scp_718poster, #e78e8e
scp_718spawn, #ffffff
scp_772fragment, #e1c89b
scp_772poster, #f0ea96
scp_772spawn, #ffffff
scp_789_jposter, #a0ca96
scp_789fragment, #d3cdcd
scp_789spawn, #ffffff
scp_811fragment, #1f3704
scp_811poster, #f0ea96
scp_811spawn, #ffffff
scp_822fragment, #b5b489
scp_822poster, #f0ea96
scp_822spawn, #ffffff
scp_843_sapling, #7a008
scp_843fragment, #3aa234
scp_843poster, #f0ea96
scp_843spawn, #ffffff
scp_8602_tail, #542669
scp_860_door, #c8beb8
scp_860_key, #ffffff
scp_860fragment, #70615a
scp_872fragment, #90ab86
scp_872spawn, #ffffff
scp_912_armor_boots, #393737
scp_912_armor_chestplate, #434141
scp_912_armor_helmet, #848383
scp_912_armor_leggings, #dadada
scp_914fragment, #848275
scp_914poster, #a0ca96
scp_914spawn, #ffffff
scp_939_claw, #6b0000
scp_939fragment, #7a1e1e
scp_939poster, #e78e8e
scp_939spawn, #ffffff
scp_966fragment, #878787
scp_966poster, #f0ea96
scp_966spawn, #ffffff
scp_997, #aca482
scp_997fragment, #b1aea0
scp_997poster, #a0ca96
scp_997spawn, #ffffff
scp_999fragment, #fa8e32
scp_999poster, #a0ca96
scp_999spawn, #ffffff
scp_catalogue, #cfccc5
scp_poster_blank, #f0ea96
scp_sign_1, #969696
scp_sign_2, #969696
sliding_door_item, #b6b6b6
sliding_door_new_1, #b6b6b6
sliding_door_new_2, #b6b6b6
sliding_door_new_3, #b6b6b6
sliding_door_new_4, #b6b6b6
smoke_block, #989898
syringe, #d0f1eb
telekill_axe, #ffffff
telekill_hoe, #ffffff
telekill_pickaxe, #ffffff
telekill_shovel, #ffffff
telekill_sword, #ffffff
ventilation_fan, #4d4d4b
very_fine_syringe, #6493b6
water_cooler, #b6dee3
water_cooler_upper, #b6dee3
watercooleritem, #b6dee3
wrench, #a2a2a2
